		BEST_BID	BEST_BOTH	BEST_OFFER	BUY	SELL
{'cluster': 0, 'best_bid': False, 'best_offer': False, 'Position': -100.0}	0.0517343867891	0.206937547156				
{'cluster': 0, 'best_bid': False, 'best_offer': False, 'Position': 0.0}	0.0184452794632	0.0107804913133	0.0246435934059	0.170730224794		
{'cluster': 0, 'best_bid': False, 'best_offer': False, 'Position': 100.0}	0.0156403198057			0.0175857696487		-1.3791057568
{'cluster': 0, 'best_bid': False, 'best_offer': True, 'Position': 0.0}	0.0362622070313	0.0549770689127	0.0435769727829	0.0142343867891		
{'cluster': 0, 'best_bid': False, 'best_offer': True, 'Position': 100.0}	0.0371843547835			-0.998044960024		-0.237357980532
{'cluster': 0, 'best_bid': True, 'best_offer': False, 'Position': -100.0}	1.00649914499	0.501357177526				
{'cluster': 0, 'best_bid': True, 'best_offer': False, 'Position': 0.0}	0.0137442672282	0.0569375471564	0.0570315033507	0.0217884863914		
{'cluster': 0, 'best_bid': True, 'best_offer': True, 'Position': 0.0}	0.0371899779793	0.439816551302	0.0492871868119	-0.192027360268		
{'cluster': 1, 'best_bid': False, 'best_offer': False, 'Position': -100.0}	0.02734375	-0.156423027217				
{'cluster': 1, 'best_bid': False, 'best_offer': False, 'Position': 0.0}	0.0184375	0.029623775268	0.0326117803995	0.0906556396114		
{'cluster': 1, 'best_bid': False, 'best_offer': False, 'Position': 100.0}	2.5			0.625		
{'cluster': 1, 'best_bid': False, 'best_offer': True, 'Position': 0.0}	0.019697411917	0.0652235607989	0.036875	0.0652235607989		
{'cluster': 1, 'best_bid': False, 'best_offer': True, 'Position': 100.0}	0.175361882889			0.625		-0.41
{'cluster': 1, 'best_bid': True, 'best_offer': False, 'Position': -100.0}	-1.9453125	1.67375			-2.35902243078	
{'cluster': 1, 'best_bid': True, 'best_offer': False, 'Position': 0.0}	0.039394823834	0.0652235607989		0.0409775692225		
{'cluster': 1, 'best_bid': True, 'best_offer': True, 'Position': 0.0}				0.0652235607989		
{'cluster': 2, 'best_bid': False, 'best_offer': False, 'Position': -100.0}	0.0129155271956	0.209681869518			-0.331246948242	
{'cluster': 2, 'best_bid': False, 'best_offer': False, 'Position': 0.0}	0.151957030065	0.114063006701	0.0569375471564	0.0569375471564		
{'cluster': 2, 'best_bid': False, 'best_offer': False, 'Position': 100.0}	0.77053223448			1.00027477765		
{'cluster': 2, 'best_bid': False, 'best_offer': True, 'Position': 0.0}	0.113875094313	0.0853651123968	0.0453431370258	0.0569375471564		
{'cluster': 2, 'best_bid': False, 'best_offer': True, 'Position': 100.0}	0.77053223448			-0.0487975475789		
{'cluster': 2, 'best_bid': True, 'best_offer': False, 'Position': -100.0}	0.413875094313	0.0262102336898			-0.114899701826	
{'cluster': 2, 'best_bid': True, 'best_offer': False, 'Position': 0.0}	0.151957030065	0.607828120259	0.0378673761258	0.0569375471564		
{'cluster': 2, 'best_bid': True, 'best_offer': True, 'Position': 0.0}	0.114063006701	0.0190629768972	0.0453431370258	0.0570315033507		
{'cluster': 3, 'best_bid': False, 'best_offer': False, 'Position': -100.0}	0.0517343867891	0.0524204673796			-0.390302588083	
{'cluster': 3, 'best_bid': False, 'best_offer': False, 'Position': 0.0}	0.0053353195248	0.0142578758377	0.0053353195248	0.0053353195248		
{'cluster': 3, 'best_bid': False, 'best_offer': False, 'Position': 100.0}	0.00211353308187			0.00422706616375		-0.339501710017
{'cluster': 3, 'best_bid': False, 'best_offer': True, 'Position': 0.0}	0.0026676597624	0.0142578758377	0.0053353195248	0.0106706390496		
{'cluster': 3, 'best_bid': False, 'best_offer': True, 'Position': 100.0}	0.00105676654094			0.00105676654094		-0.229269775206
{'cluster': 3, 'best_bid': True, 'best_offer': False, 'Position': -100.0}	5.11918626754e-05	0.150867193395			-0.066425977826	
{'cluster': 3, 'best_bid': True, 'best_offer': False, 'Position': 0.0}	0.0026676597624	0.0053353195248	0.0026676597624	0.00712893791884		
{'cluster': 3, 'best_bid': True, 'best_offer': True, 'Position': 0.0}	0.0026676597624	0.00356446895942	0.301224521562	0.0053353195248		
{'cluster': 4, 'best_bid': False, 'best_offer': False, 'Position': -100.0}	0.103468773578	0.603468773578			0.827750188626	
{'cluster': 4, 'best_bid': False, 'best_offer': False, 'Position': 0.0}	0.0026676597624	0.0106706390496	0.301224521562	0.0213412780992		
{'cluster': 4, 'best_bid': False, 'best_offer': False, 'Position': 100.0}	0.03381652931			0.0322418362498		-1.36498378732
{'cluster': 4, 'best_bid': False, 'best_offer': True, 'Position': 0.0}	0.0213412780992	0.0213412780992	0.0106706390496	0.0142578758377		
{'cluster': 4, 'best_bid': False, 'best_offer': True, 'Position': 100.0}	0.0676330586199			0.00879288482435		-0.359266600826
{'cluster': 4, 'best_bid': True, 'best_offer': False, 'Position': -100.0}	0.413875094313	1.6213412781				
{'cluster': 4, 'best_bid': True, 'best_offer': False, 'Position': 0.0}	0.0142578758377	0.0213412780992	0.0106706390496	0.0213412780992		
{'cluster': 4, 'best_bid': True, 'best_offer': True, 'Position': 0.0}	0.150612260781	0.602449043125	0.114063006701	0.0213412780992		
{'cluster': 5, 'best_bid': False, 'best_offer': False, 'Position': -100.0}	-0.896531226422	0.301734386789			-0.343062452844	
{'cluster': 5, 'best_bid': False, 'best_offer': False, 'Position': 0.0}	0.0226715685129	0.0570315033507	0.114063006701	0.0285157516754		
{'cluster': 5, 'best_bid': False, 'best_offer': False, 'Position': 100.0}	0.0161209181249			0.0322418362498		
{'cluster': 5, 'best_bid': False, 'best_offer': True, 'Position': 0.0}	0.0570315033507	0.0570315033507	0.0569375471564	0.0570315033507		
{'cluster': 5, 'best_bid': False, 'best_offer': True, 'Position': 100.0}	0.00845413232749			0.614257875838		
{'cluster': 5, 'best_bid': True, 'best_offer': False, 'Position': -100.0}	0.150867193395	0.150867193395				
{'cluster': 5, 'best_bid': True, 'best_offer': False, 'Position': 0.0}	0.114063006701	0.0853651123968	0.0316835966973	0.0213412780992		
{'cluster': 5, 'best_bid': True, 'best_offer': True, 'Position': 0.0}	0.0763427345496	0.228126013403	0.0285157516754	1.41067063905		
